product_id,seller_id,category_id,name,description,price,created_at,is_active
1,2,1,"Wireless Earbuds","Bluetooth 5.0 24hr battery life",49.99,"2024-01-10 00:00:00",1
2,2,1,"USB-C Hub 7-in-1","HDMI USB 3.0 SD card and more",34.99,"2024-01-15 00:00:00",1
3,2,1,"Gaming Mouse","RGB 16000 DPI programmable buttons",59.99,"2024-02-01 00:00:00",1
4,2,1,"Mechanical Keyboard","TKL layout blue switches backlit",89.99,"2024-02-10 00:00:00",1
5,2,1,"Portable Charger 20000mAh","Dual USB-A fast charge support",29.99,"2024-03-05 00:00:00",1
6,3,2,"Cast Iron Skillet 12in","Pre-seasoned oven safe to 500F",44.99,"2024-01-20 00:00:00",1
7,3,2,"Stainless Steel Pot Set","5-piece set with lids dishwasher safe",79.99,"2024-02-05 00:00:00",1
8,1,2,"Scented Soy Candle","Hand-poured lavender and vanilla scent",18.99,"2024-02-20 00:00:00",1
9,3,2,"Bamboo Cutting Board","Large antimicrobial juice groove",24.99,"2024-03-01 00:00:00",1
10,1,2,"Ceramic Mug Set","Microwave and dishwasher safe 14oz each",32.99,"2024-03-15 00:00:00",1
11,5,3,"Classic White Tee","100% organic cotton unisex fit",19.99,"2025-01-05 00:00:00",1
12,5,3,"Slim Fit Jeans","Stretch denim available in 3 washes",54.99,"2025-01-25 00:00:00",1
13,5,3,"Puffer Jacket","Water-resistant packable warm to 20F",119.99,"2025-02-12 00:00:00",1
14,5,3,"Running Shorts","Moisture-wicking 5in inseam side pockets",29.99,"2025-03-10 00:00:00",1
15,5,3,"Wool Beanie","Soft merino wool one size fits most",16.99,"2025-03-20 00:00:00",1
16,4,4,"Hiking Backpack 45L","Waterproof hip belt hydration compatible",89.99,"2025-06-18 00:00:00",1
17,4,4,"Sleeping Bag -10C","Mummy style lightweight compression sack",69.99,"2025-07-08 00:00:00",1
18,4,4,"Trekking Poles Pair","Aluminum collapsible cork grip",39.99,"2025-08-25 00:00:00",1
19,4,4,"Portable Water Filter","Filters 0.1 micron 1000L capacity",34.99,"2025-09-12 00:00:00",1
20,7,5,"Clean Code","By Robert C. Martin essential for devs",39.99,"2026-01-08 00:00:00",1
21,7,5,"The Pragmatic Programmer","Your journey to mastery 20th anniversary",45.99,"2026-01-22 00:00:00",1
22,7,5,Dune,"Frank Herbert classic sci-fi epic",16.99,"2026-02-14 00:00:00",1
23,7,5,"Atomic Habits","James Clear build good habits break bad",17.99,"2026-03-03 00:00:00",1
24,9,6,"Vitamin C Serum 30ml","Brightening anti-aging all skin types",28.99,"2026-03-12 00:00:00",1
25,9,6,"Hyaluronic Moisturizer","Fragrance-free 48hr hydration",22.99,"2026-04-03 00:00:00",1
26,9,6,"SPF 50 Sunscreen","Lightweight non-greasy reef-safe",18.99,"2026-04-22 00:00:00",1
27,9,6,"Retinol Night Cream","0.3% retinol reduces fine lines overnight",34.99,"2026-05-08 00:00:00",1
28,9,6,"Jade Face Roller","Natural jade dual-ended reduces puffiness",14.99,"2026-05-25 00:00:00",1
